date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_50,RSI,Bollinger_High,Bollinger_Low,MACD,sentiment,news_headline
2020-03-13,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.53166961669922,370732000,73.15837421417237,74.81328513622405,45.20879568118975,83.20250861671127,63.11423981163346,-2.7609965925066007,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln ."
2020-03-16,60.48749923706055,64.7699966430664,60.0,60.5525016784668,58.84391403198242,322423600,72.1241241455078,74.25403872611592,36.82638949187659,82.86344828627966,61.38480000473596,-3.3396462774677076,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year ."
2020-03-17,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,61.43128967285156,324056000,71.29737415313721,73.82113525264424,40.37232042009911,82.10675537296865,60.487992933305776,-3.5425526050433263,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year ."
2020-03-18,59.942501068115234,62.5,59.279998779296875,61.66749954223633,59.92745590209961,300233600,70.33549919128419,73.34452208753021,39.00204430021745,80.97634104705772,59.694657335510655,-3.7846011712910865,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia ."
2020-03-19,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,59.46828079223633,271857200,69.39149932861328,72.86807022899272,38.5715700072141,79.75495219597799,59.028046461248564,-3.96880329881391,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine ."
2020-03-20,61.79499816894531,62.95750045776367,57.0,57.310001373291016,55.692909240722656,401693200,68.34387454986572,72.2579498817103,35.13753305846595,79.13575499033136,57.55199410940007,-4.377807073390684,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % ."
2020-03-23,57.02000045776367,57.125,53.15250015258789,56.092498779296875,54.5097541809082,336752800,67.4212495803833,71.62401062279213,34.11255254752233,79.0568927053064,55.78560645546021,-4.745484800874692,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,59.97846984863281,287531200,66.90624980926513,71.23561809722001,42.46656511127042,78.5937834899014,55.21871612862888,-4.530554223938026,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share ."
2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,59.64806365966797,303602000,66.31712493896484,70.84912331176493,42.11909331597693,77.87090902225509,54.763340855674585,-4.337653593508186,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .
2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,62.78693771362305,252087200,66.12862510681153,70.60445183327813,46.590070564116154,77.66463672928856,54.5926134843345,-3.879424890018555,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ."
